name,avg_playtime_hr
"Counter-Strike: Global Offensive",552.28
"PUBG: BATTLEGROUNDS",399.55
Rust,365.75
"Team Fortress 2",361.9
"Rocket League",326.82
"Tom Clancy's Rainbow Six Siege",242.4
"Grand Theft Auto V Legacy",233.72
"Path of Exile",218.48
Warframe,212.5
"Dead by Daylight",193.47
"Destiny 2",190.55
"ARK: Survival Evolved",188.4
"New World: Aeternum",176.48
"Garry's Mod",168.43
"Path of Exile 2",163.68
"Apex Legends",162.63
"PAYDAY 2",162.1
Unturned,158.75
"War Thunder",147.53
"Monster Hunter: World",147.25
