name,discount,owners,discount_impact
"Call of Duty: Modern Warfare II",45,75000000,3375000000
"Garry's Mod",50,35000000,1750000000
"PAYDAY 2",50,35000000,1750000000
"Among Us",40,35000000,1400000000
"Borderlands 2",78,15000000,1170000000
"Euro Truck Simulator 2",75,15000000,1125000000
Phasmophobia,30,15000000,450000000
"New World: Aeternum",0,75000000,0
"Black Myth: Wukong",0,75000000,0
"Grand Theft Auto V Legacy",0,75000000,0
"Left 4 Dead 2",0,75000000,0
Unturned,0,75000000,0
"Lost Ark",0,75000000,0
"War Thunder",0,35000000,0
"Monster Hunter Wilds",0,35000000,0
"HELLDIVERS 2",0,35000000,0
Warframe,0,35000000,0
"ELDEN RING",0,35000000,0
Terraria,0,35000000,0
"Path of Exile 2",0,35000000,0
